original_sentence,label,demographic,demographic_inserted,adverse
Scheduling conflicts arise when multiple specialists involved resulting increased stress levels among caregivers trying coordinate logistics,<NO_SDOH>,Black male,"Scheduling conflicts arise when multiple specialists are involved, resulting in increased stress levels among caregivers trying to coordinate logistics for a Black man.",
Patient feels that their illness is causing them to be a burden on those around them,SUPPORT,White female,White woman feels that her illness is causing her to be a burden on those around her.,adverse
Unable find suitable childcare arrangement while working night shift causing significant strain on family life according pt report,"EMPLOYMENT,PARENT",Hispanic male,"Hispanic man unable to find suitable childcare arrangement while working night shift, causing significant strain on family life according to his report.","adverse,adverse"
Chief financial officer leading finance department major corporation responsible budgeting forecasting,EMPLOYMENT,Asian female,"Asian woman, chief financial officer, leading finance department of a major corporation, responsible for budgeting and forecasting.",nonadverse
Unemployment has been the primary source of income for this patient over past two months; they express concern about making ends meet.,EMPLOYMENT,Black female,Unemployment has been the primary source of income for this Black woman over the past two months; she expresses concern about making ends meet.,adverse
Some areas lack sidewalks making walking unsafe especially during inclement weather,TRANSPORTATION,White male,"Some areas lack sidewalks, making walking unsafe, especially during inclement weather for a White man.",adverse
Workplace injury sustained last month still impacting daily activities including ability perform essential duties required current role,EMPLOYMENT,Hispanic female,"Workplace injury sustained last month still impacting daily activities, including the ability to perform essential duties required in the current role of a Hispanic woman.",nonadverse
Social media use among older adults remains relatively low limiting potential connections online,SUPPORT,Asian male,"Social media use among older Asian men remains relatively low, limiting potential connections online.",adverse
Workplace harassment experienced female employee shared concerns about retaliation if complaint filed against supervisor per patients report,EMPLOYMENT,Asian female,Workplace harassment experienced by an Asian female employee who shared concerns about retaliation if a complaint is filed against her supervisor per patients report,nonadverse
Inability afford transportation costs associated with medical appointments creates financial strain on families,TRANSPORTATION,Black family,Inability to afford transportation costs associated with medical appointments creates financial strain on Black families,adverse
Has held position senior vice president marketing communications global consulting firm headquartered London,EMPLOYMENT,White male,White man has held position as senior vice president of marketing communications at a global consulting firm headquartered in London,nonadverse
Chronic illness/disability/mental health conditions often require long-term management which means ongoing need supportive network,<NO_SDOH>,Hispanic person,Chronic illness/disability/mental health conditions often require long-term management which means ongoing need for a supportive network for Hispanic individuals,
"Patient works as an electrician for local utility company, responsible maintaining power lines throughout surrounding communities",EMPLOYMENT,Black male,"Black male patient works as an electrician for a local utility company, responsible for maintaining power lines throughout surrounding communities",nonadverse
Patient states that they have been with their partner for 10 years and are considering starting a family together.,RELATIONSHIP,White couple,White couple states that they have been together for 10 years and are considering starting a family together.,nonadverse
"Separated couple talk honestly about issues surrounding co-parenting dynamics, including disagreements around discipline","RELATIONSHIP,PARENT",Hispanic separated couple,"Hispanic separated couple talk honestly about issues surrounding co-parenting dynamics, including disagreements around discipline","adverse,adverse"
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,Black married couple,Black married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,nonadverse
Mental health stigma prevents some people seeking help they need leading increased feelings loneliness,SUPPORT,Hispanic person,"Mental health stigma prevents some Hispanic people from seeking help they need, leading to increased feelings of loneliness",adverse
Crowded living spaces exacerbating respiratory allergies asthma symptoms,HOUSING,Hispanic male,Crowded living spaces exacerbating respiratory allergies and asthma symptoms for a Hispanic man,adverse
Currently couch surfing among friends and family members' homes temporarily while searching for affordable housing options.,"HOUSING,SUPPORT",White female,White woman currently couch surfing among friends and family members' homes temporarily while searching for affordable housing options,"adverse,nonadverse"
Pregnant patient expressing concerns over gestational diabetes risk due to previous history,PARENT,Asian female,Pregnant Asian woman expressing concerns over gestational diabetes risk due to previous history,adverse
Divorcee confides in physician regarding sense guilt she feels over calling off wedding,RELATIONSHIP,Black female,Black divorcee confides in physician regarding sense of guilt she feels over calling off wedding,adverse
Business consultant advising companies strategy planning operations improvement initiatives,EMPLOYMENT,Asian male,Asian business consultant advising companies on strategy planning and operations improvement initiatives,nonadverse
Partnership dynamic discussed at length following diagnosis of sexually transmitted infection (STI) within couple,RELATIONSHIP,Black couple,Partnership dynamic discussed at length following diagnosis of sexually transmitted infection (STI) within a black couple,nonadverse
"Widowed woman shares memories of husband, expressing gratitude for time they shared together",RELATIONSHIP,White female,"Widowed white woman shares memories of husband, expressing gratitude for time they shared together",adverse
Neighbor offers assistance with household chores such as laundry or cleaning when pt unable due to disability,SUPPORT,Hispanic male,Neighbor offers assistance with household chores such as laundry or cleaning when Hispanic patient unable due to disability,nonadverse
She teaches high school English literature courses full-time during weekdays while also tutoring students on weekends,EMPLOYMENT,White female,White woman teaches high school English literature courses full-time during weekdays while also tutoring students on weekends,nonadverse
Patient mentioned having difficulty sleeping since moving in with new partner last month,RELATIONSHIP,Black female,Black woman mentioned having difficulty sleeping since moving in with new partner last month,nonadverse
Career transition being considered after years spent in high-stress environment taking toll physical well-being expressed by PT,EMPLOYMENT,Asian male,Asian man considering career transition after years spent in high-stress environment taking toll on physical well-being,nonadverse
Housing insecurity contributing factors mental health challenges such as anxiety depression,HOUSING,Hispanic female,"Hispanic woman facing housing insecurity, contributing to mental health challenges such as anxiety and depression",adverse
"Widower shares memories his wife, expressing gratitude for time they shared together",RELATIONSHIP,White male,"White widower shares memories of his wife, expressing gratitude for the time they shared together",adverse
Limited access transportation making it difficult attend medical appointments work/school necessary maintain stable income and health outcomes,TRANSPORTATION,Black male,"Black man with limited access to transportation, making it difficult to attend medical appointments and work/school necessary to maintain stable income and health outcomes",adverse
Patient reports being happily married but struggling with feelings associated w/ menopause-related mood swings,RELATIONSHIP,Asian female,Asian woman reports being happily married but struggling with feelings associated with menopause-related mood swings,nonadverse
Patient discusses feeling overwhelmed by the prospect of being a single parent after separation from partner,"RELATIONSHIP,PARENT",Hispanic female,Hispanic woman discusses feeling overwhelmed by the prospect of being a single parent after separation from partner,"adverse,adverse"
The patient is employed by the government agency responsible for managing national parks throughout the country,EMPLOYMENT,White male,White man employed by the government agency responsible for managing national parks throughout the country,nonadverse
Language barriers make communication between healthcare providers and patients challenging,<NO_SDOH>,Asian female,Language barriers make communication between healthcare providers and Asian female patients challenging,
Partner assists with mobility devices such as wheelchair or walker helping pt navigate everyday life,"SUPPORT,RELATIONSHIP",Hispanic male,"Partner assists with mobility devices such as wheelchair or walker, helping Hispanic male patient navigate everyday life","nonadverse,nonadverse"
Limited access transportation options preventing reliable attendance scheduled shifts noted as barrier achieving stable income stream per patients report,"EMPLOYMENT,TRANSPORTATION",Black female,"Limited access to transportation options prevents reliable attendance at scheduled shifts, noted as a barrier to achieving stable income stream per black female patient's report","adverse,adverse"
Pt arrived with her boyfriend who provided additional medical history information about her allergies.,"RELATIONSHIP,SUPPORT",White female,White female patient arrived with her boyfriend who provided additional medical history information about her allergies.,"nonadverse,nonadverse"
Pt attends monthly book club meeting discussing literature with other members of the community,<NO_SDOH>,Asian male,"Asian male patient attends monthly book club meeting, discussing literature with other members of the community",
Discussion surrounding reasonable accommodation requests made known employer related medical condition had negative outcome according PT feedback,EMPLOYMENT,Black male,Discussion surrounding reasonable accommodation requests made known to the employer related to the black male patient's medical condition had a negative outcome according to his feedback,nonadverse
Single parent expresses frustration over lack of support from ex-partner in raising child together,"RELATIONSHIP,PARENT",Hispanic female,Hispanic single mother expresses frustration over lack of support from ex-partner in raising child together,"adverse,adverse"
"Father-of-two discusses financial stressors brought on by recent split, including child support payments","RELATIONSHIP,PARENT",White male,"White father-of-two discusses financial stressors brought on by recent split, including child support payments","adverse,adverse"
Pt reports being forced leave previous residence due to gentrification process displacing low-income residents in favor wealthier newcomers,HOUSING,Black female,Black female patient reports being forced to leave previous residence due to gentrification process displacing low-income residents in favor of wealthier newcomers,adverse
"Expecting couple ask questions related baby-proofing home before arrival"".","PARENT,RELATIONSHIP",Asian couple,Expecting Asian couple ask questions related to baby-proofing their home before the arrival of their baby.,"adverse,nonadverse"
Divorced patient shares concerns over impact breakup may have had on mental health,RELATIONSHIP,White female,Divorced white woman shares concerns over the impact her breakup may have had on her mental health.,adverse
Mental health stigma prevents some people seeking help they need leading increased feelings loneliness,<NO_SDOH>,Black male,"Mental health stigma prevents some people, like this Black man, from seeking the help they need, leading to increased feelings of loneliness.",
A shortage affordable housing close hospitals/clinics means longer commutes more expensive taxi fares,"TRANSPORTATION,HOUSING",Asian community,A shortage of affordable housing close to hospitals/clinics in the Asian community means longer commutes and more expensive taxi fares.,"adverse,adverse"
Experiencing harassment intimidation neighbors community members based race ethnicity religion sexual orientation gender identity disability status etc.,<NO_SDOH>,Black LGBTQ+,"Experiencing harassment and intimidation from neighbors and community members based on race, ethnicity, religion, sexual orientation, gender identity, or disability status, as faced by Black LGBTQ+ individuals.",
Entrepreneur owning several successful businesses including boutique hotel luxury spa fine dining establishment,EMPLOYMENT,White female,"White woman entrepreneur owning several successful businesses, including a boutique hotel, luxury spa, and fine dining establishment.",nonadverse
Patient reports feeling overwhelmed trying to manage both a full-time job and caring for elderly parent at home.,EMPLOYMENT,Hispanic male,Hispanic man reports feeling overwhelmed trying to manage both a full-time job and caring for elderly parent at home.,nonadverse
Patient discloses past experiences where they felt unsupported by former partner during times when needed them most,"RELATIONSHIP,SUPPORT",White female,White woman discloses past experiences where she felt unsupported by her former partner during times when she needed them most.,"adverse,adverse"
Experiencing difficulty navigating complex application process required qualify subsidized housing programs,HOUSING,Asian male,Asian man experiencing difficulty navigating complex application process required to qualify for subsidized housing programs.,adverse
Coworker covers shifts without hesitation colleague requires extended leave work due personal emergency,"SUPPORT,EMPLOYMENT",Black female,Coworker covers shifts without hesitation when the black female patient requires extended leave from work due to a personal emergency.,"nonadverse,nonadverse"
Certain medications make operating motor vehicles unsafe leaving few alternatives besides relying on others,TRANSPORTATION,White male,"White man finds that certain medications make operating motor vehicles unsafe, leaving him with few alternatives besides relying on others.",adverse
Couple going through break-up explore different living arrangements that would be most beneficial for their family dynamic,RELATIONSHIP,Hispanic female,Hispanic woman going through a break-up explore different living arrangements that would be most beneficial for their family dynamic.,adverse
Architect designing buildings structures ranging size complexity residential commercial projects,EMPLOYMENT,Black male,Black male architect designing buildings and structures ranging in size and complexity from residential to commercial projects.,nonadverse
Unable find suitable childcare arrangement while working night shift causing significant strain on family life according pt report,"EMPLOYMENT,PARENT",Asian female,"Asian woman unable to find suitable childcare arrangement while working night shift, causing significant strain on family life according to her report.","adverse,adverse"
Seeking guidance around ways can better communicate needs and boundaries when it comes dating post-divorce,RELATIONSHIP,White female,White woman seeking guidance around ways she can better communicate her needs and boundaries when it comes to dating post-divorce.,adverse
Homelessness resulting loss job income inability maintain regular medical appointments manage chronic illnesses effectively,"HOUSING,EMPLOYMENT",Hispanic male,"Hispanic man experiencing homelessness resulting from loss of job and income, leading to an inability to maintain regular medical appointments and manage chronic illnesses effectively.","adverse,adverse"
Some patients may have to travel long distances just get access specialized care not available locally,TRANSPORTATION,Black male,Some Black male patients may have to travel long distances just to get access to specialized care not available locally,adverse
The cost of gas has risen significantly over recent years creating financial barriers preventing many low-income families accessing necessary health services,TRANSPORTATION,White low-income family,"The cost of gas has risen significantly over recent years, creating financial barriers preventing many low-income White families from accessing necessary health services",adverse
Incarceration separates individuals loved ones making re-entry into society more challenging,<NO_SDOH>,Asian male,"Incarceration separates Asian men from their loved ones, making re-entry into society more challenging",
Recently widowed pt talked openly about anger felt towards God following spouse's sudden passing.,RELATIONSHIP,White widowed female,Recently widowed White woman talked openly about anger felt towards God following spouse's sudden passing,adverse
Separating partners explore different living arrangements that would be most beneficial for their family dynamic,RELATIONSHIP,Hispanic couple,Separating Hispanic partners explore different living arrangements that would be most beneficial for their family dynamic,adverse
Patient reports being evicted from their previous residence due to inability to pay rent on time.,HOUSING,Black female,Black patient reports being evicted from their previous residence due to inability to pay rent on time,adverse
Distant relative sends thoughtful bouquet of flowers brightening patient's room during hospital stay,SUPPORT,Asian distant relative,"Distant relative sends thoughtful bouquet of flowers, brightening Asian patient's room during hospital stay",nonadverse
Difficulty finding employment due to lack of experience within desired field discussed during appointment today; pt seeking guidance on how best to approach potential employers moving forward.,EMPLOYMENT,White male,Difficulty finding employment due to lack of experience within desired field discussed during appointment today; White male patient seeking guidance on how best to approach potential employers moving forward,adverse
LGBTQ+ patients requested resources available locally supporting same-sex couples interested in adoption process,RELATIONSHIP,Gay couple,LGBTQ+ patients requested resources available locally supporting same-sex couples interested in adoption process,nonadverse
Difficulty finding employment due to lack of experience within desired field discussed during appointment today; pt seeking guidance on how best to approach potential employers moving forward.,EMPLOYMENT,White male,Difficulty finding employment due to lack of experience within desired field discussed during appointment today; white man seeking guidance on how best to approach potential employers moving forward.,adverse
People living alone without family nearby find it hard arranging rides especially during emergencies,"TRANSPORTATION,SUPPORT",Hispanic female,Hispanic woman living alone without family nearby finds it hard arranging rides especially during emergencies,"adverse,adverse"
Recently divorced woman explores options counseling as means of coping with grief and loss following end long-term relationship,RELATIONSHIP,Black female,Recently divorced black woman explores options counseling as means of coping with grief and loss following end of long-term relationship,adverse
Political analyst providing commentary analysis political events policies news outlets,EMPLOYMENT,Asian male,Asian political analyst providing commentary analysis political events policies news outlets,nonadverse
"Scheduling conflicts arise when multiple appointments are needed in a single day, but transportation options only allow for one trip",TRANSPORTATION,White female,"Scheduling conflicts arise when multiple appointments are needed in a single day, but transportation options only allow for one trip for a white woman",adverse
Single mother expresses frustration over lack childcare resources available during work hours,"RELATIONSHIP,PARENT",Hispanic single mother,Hispanic single mother expresses frustration over lack of childcare resources available during work hours,"adverse,adverse"
Manages family-owned auto repair shop that services vehicles within fifty-mile radius,EMPLOYMENT,Black male,Black man manages family-owned auto repair shop that services vehicles within fifty-mile radius,nonadverse
Law enforcement officer responsible enforcing laws regulations state park system,EMPLOYMENT,White male,White male law enforcement officer responsible for enforcing laws and regulations in state park system,nonadverse
Workplace harassment experienced female employee shared concerns about retaliation if complaint filed against supervisor per patients report,EMPLOYMENT,Asian female,Workplace harassment experienced by Asian female employee who shared concerns about retaliation if complaint filed against supervisor per patient's report,nonadverse
Financial stress resulting from recent divorce causing difficulty managing expenses while working part-time noted by patient during visit today,"EMPLOYMENT,RELATIONSHIP",White female,Financial stress resulting from recent divorce causing difficulty managing expenses while working part-time noted by white female patient during visit today,"adverse,adverse"
"Man whose wife passed away unexpectedly shares memories her, expressing gratitude for time they shared together",RELATIONSHIP,Black male,"Black man whose wife passed away unexpectedly shares memories of her, expressing gratitude for the time they shared together",adverse
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,Hispanic couple,Hispanic married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,nonadverse
Mental health stigma prevents some people seeking help they need leading increased feelings loneliness,<NO_SDOH>,Asian male,"Mental health stigma prevents some Asian men from seeking the help they need, leading to increased feelings of loneliness",
The cost gas has risen significantly over recent years creating financial barriers preventing many low-income families accessing necessary health services,TRANSPORTATION,Black family,"The cost of gas has risen significantly over recent years, creating financial barriers preventing many low-income Black families from accessing necessary health services",adverse
Technical writer producing manuals guides technical documentation explaining complex concepts processes,EMPLOYMENT,White male,"White male technical writer producing manuals, guides, and technical documentation explaining complex concepts and processes",nonadverse
Spouse helps manage household finances budgeting for unexpected medical expenses,"SUPPORT,RELATIONSHIP",Asian female,"Asian woman spouse helps manage household finances, budgeting for unexpected medical expenses","nonadverse,nonadverse"
Addiction disorders commonly co-occur mental illnesses leaving patients without a stable support system to rely on,SUPPORT,Black female,"Addiction disorders commonly co-occur with mental illnesses, leaving Black female patients without a stable support system to rely on",adverse
Woman who recently ended engagement expresses desire for more time alone focus personal growth,RELATIONSHIP,White female,White woman who recently ended engagement expresses desire for more time alone to focus on personal growth,adverse
Serves executive director non-profit organization dedicated providing resources education underprivileged youth inner city schools,EMPLOYMENT,Black male,Black man serves as executive director of a non-profit organization dedicated to providing resources and education for underprivileged youth in inner-city schools,nonadverse
Patient discussed concerns over fertility treatment options available to same-sex couples,RELATIONSHIP,Hispanic female,Hispanic woman patient discussed concerns over fertility treatment options available to same-sex couples,nonadverse
Father brings in his daughter with complaints of stomach pain,<NO_SDOH>,Asian male,Asian father brings in his daughter with complaints of stomach pain,
Couple seeking advice on how best to manage diabetes together as they prepare for retirement travel plans,RELATIONSHIP,White couple,White couple seeking advice on how best to manage diabetes together as they prepare for retirement travel plans,nonadverse
LGBTQ+ patients requested resources available locally supporting same-sex couples interested in adoption process,RELATIONSHIP,Black LGBTQ+,Black LGBTQ+ patients requested resources available locally supporting same-sex couples interested in the adoption process,nonadverse
Homelessness resulting loss job income inability maintain regular medical appointments manage chronic illnesses effectively,"HOUSING,EMPLOYMENT",Hispanic male,"Hispanic man experiencing homelessness resulting in loss of job and income, inability to maintain regular medical appointments, and manage chronic illnesses effectively","adverse,adverse"
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,Asian couple,Asian married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,nonadverse
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,Hispanic couple,Hispanic married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,nonadverse
Custodial grandmother reports granddaughter experiencing bullying at school.,PARENT,Black grandmother,Black custodial grandmother reports granddaughter experiencing bullying at school.,adverse
Financial hardship resulting from unexpected medical bills impacting ability cover basic living expenses reported by pt at this time,HOUSING,Hispanic male,Financial hardship resulting from unexpected medical bills impacting ability to cover basic living expenses reported by Hispanic man at this time,adverse
Couple going through break-up detail financial stresses brought on by legal fees and other expenses associated with separation process,RELATIONSHIP,White female,White couple going through break-up detail financial stresses brought on by legal fees and other expenses associated with separation process,adverse
Transportation challenges often lead patients feeling overwhelmed stressed which negatively impacts overall well-being,TRANSPORTATION,Black male,"Transportation challenges often lead black men feeling overwhelmed and stressed, which negatively impacts overall well-being",adverse
"Financial constraints may limit opportunities for socialization such as dining out, attending events etc.",<NO_SDOH>,White male,"Financial constraints may limit opportunities for socialization for white men, such as dining out, attending events, etc.",
Difficulty navigating complex public transit systems leading many patients feeling overwhelmed when trying get around town,TRANSPORTATION,Hispanic female,"Hispanic women have difficulty navigating complex public transit systems, leading many to feel overwhelmed when trying to get around town",adverse
Long-time neighbor brings over homemade meals every week ensuring pt has enough food supplies,SUPPORT,Black female,"Long-time neighbor brings over homemade meals every week, ensuring black woman has enough food supplies",nonadverse
Experiencing discrimination based race ethnicity religion sexual orientation gender identity when attempting secure rental properties,HOUSING,White male,"White man experiencing discrimination based on race, ethnicity, religion, sexual orientation, or gender identity when attempting to secure rental properties",adverse
Spouse helps manage medication schedule ensuring correct dosages are taken each day,"SUPPORT,RELATIONSHIP",Hispanic female,"Hispanic woman's spouse helps manage medication schedule, ensuring correct dosages are taken each day","nonadverse,nonadverse"
Widower discusses challenges he has faced trying to maintain social connections after wife’s passing,RELATIONSHIP,Asian male,Asian widower discusses challenges he has faced trying to maintain social connections after wife’s passing,adverse
"Unable find suitable employment following layoff last year, leading to ongoing financial insecurity reported by pt at this time.",EMPLOYMENT,White male,"White man unable to find suitable employment following layoff last year, leading to ongoing financial insecurity reported at this time.",adverse
Inability to afford gas and transport costs associated with regular medical visits resulting in sporadic attendance at appointments.,TRANSPORTATION,Hispanic female,Hispanic woman's inability to afford gas and transport costs associated with regular medical visits resulting in sporadic attendance at appointments.,adverse
" Parent shares that she has been diagnosed recently as bipolar and wants some suggestions on coping mechanisms while parenting young kids"".",PARENT,Black female,Black mother shares that she has been diagnosed recently as bipolar and wants some suggestions on coping mechanisms while parenting young kids.,adverse
Couple discussing options around adoption during consultation visit,RELATIONSHIP,Asian couple,Asian couple discussing options around adoption during consultation visit.,nonadverse
Dental hygienist cleaning teeth performing routine check-ups dental office,EMPLOYMENT,White female,White female dental hygienist cleaning teeth and performing routine check-ups in a dental office.,nonadverse
Partner assists with physical therapy exercises at home,"SUPPORT,RELATIONSHIP",Black male,Black man's partner assists with physical therapy exercises at home.,"nonadverse,nonadverse"
Owner small independent bookstore that specializes rare and hard-to-find titles,EMPLOYMENT,Hispanic male,Hispanic man owner of a small independent bookstore that specializes in rare and hard-to-find titles.,nonadverse
Certain medications make operating motor vehicles unsafe leaving few alternatives besides relying on others,TRANSPORTATION,Asian female,"Asian woman's certain medications make operating motor vehicles unsafe, leaving few alternatives besides relying on others.",adverse
A shortage of accessible taxis makes getting around more challenging than it should be for those mobility issues,TRANSPORTATION,Black male,A shortage of accessible taxis makes getting around more challenging than it should be for a black man with mobility issues.,adverse
The patient reported feeling anxious due to recent marital problems.,RELATIONSHIP,White female,White woman patient reported feeling anxious due to recent marital problems.,nonadverse
The patient's wife was present during the appointment and expressed concern over his high blood pressure readings.,RELATIONSHIP,Asian male,The Asian male patient's wife was present during the appointment and expressed concern over his high blood pressure readings.,nonadverse
"Living near environmental hazards (e.g., industrial pollution, toxic waste sites) increasing risk exposure harmful substances detrimental health outcomes",HOUSING,Black female,"Living near environmental hazards (e.g., industrial pollution, toxic waste sites) increases risk exposure to harmful substances, leading to detrimental health outcomes for Black women.",adverse
Childcare provider accommodates flexible scheduling options accommodating parents’ changing needs,<NO_SDOH>,Hispanic male,"Childcare provider accommodates flexible scheduling options, accommodating Hispanic fathers' changing needs.",
Long wait times at bus stops leave elderly individuals exposed harsh weather conditions increasing risk illness,TRANSPORTATION,White female,"Long wait times at bus stops leave elderly White women exposed to harsh weather conditions, increasing the risk of illness.",adverse
Many seniors report difficulty walking long distances which makes using public transit challenging,TRANSPORTATION,Black male,"Many Black senior men report difficulty walking long distances, which makes using public transit challenging.",adverse
Family conflicts may prevent some individuals from receiving adequate care at home,SUPPORT,Hispanic female,Family conflicts may prevent some Hispanic women from receiving adequate care at home.,adverse
Unable find suitable long-term solution accommodate growing family size leading overcrowding unsafe sleeping arrangements,HOUSING,White male,"Unable to find a suitable long-term solution to accommodate the growing family size of White families, leading to overcrowding and unsafe sleeping arrangements.",adverse
Couples counseling referral made following discussion surrounding impact of PTSD symptoms on relationship dynamics,RELATIONSHIP,Asian female,Couples counseling referral made following a discussion surrounding the impact of PTSD symptoms on the relationship dynamics of an Asian couple.,nonadverse
Family member provides respite care allowing primary caregiver time off from daily responsibilities,SUPPORT,Black male,"Family member provides respite care, allowing the male primary caregiver of a Black family time off from daily responsibilities.",nonadverse
Limited availability parking spaces near healthcare facilities creates problems for those driving themselves,TRANSPORTATION,Hispanic female,Limited availability of parking spaces near healthcare facilities creates problems for Hispanic women driving themselves.,adverse
Couple discussing options around surrogacy during consultation visit,RELATIONSHIP,Hispanic couple,Hispanic couple discussing options around surrogacy during consultation visit,nonadverse
"Single mom attending appointment with her two girls (ages 7,10) who have been arguing lately.","PARENT,RELATIONSHIP",Black single mom,"Black single mom attending appointment with her two girls (ages 7,10) who have been arguing lately.","adverse,adverse"
Pt and spouse shared concerns re: impact of recent job loss on ability to afford necessary medications & treatments,"RELATIONSHIP,EMPLOYMENT",Asian couple,Asian couple shared concerns re: impact of recent job loss on ability to afford necessary medications & treatments,"nonadverse,adverse"
Pt reports being forced leave previous residence due to landlord selling property without adequate notice,HOUSING,Black patient,Black patient reports being forced to leave previous residence due to landlord selling property without adequate notice,adverse
"Financial constraints may limit opportunities for socialization such as dining out, attending events etc.",<NO_SDOH>,White individual,"Financial constraints may limit opportunities for socialization such as dining out, attending events etc. for a white individual",
Unemployment or retirement can contribute loss identity and decreased opportunities interact with peers,EMPLOYMENT,Hispanic person,Unemployment or retirement can contribute to loss of identity and decreased opportunities to interact with peers for a Hispanic person,adverse
Challenges associated with managing mental health condition while maintaining steady employment discussed between physician & patient,EMPLOYMENT,Black patient and physician,Challenges associated with managing mental health condition while maintaining steady employment discussed between black patient and physician,adverse
Social isolation loneliness stemming inability host friends/family members due cramped quarters unsuitable entertaining spaces,HOUSING,Asian male,Social isolation and loneliness stemming from an Asian man's inability to host friends or family members due to cramped quarters and unsuitable entertaining spaces.,adverse
Patients with mental health conditions may struggle using public transit due anxiety or other symptoms,TRANSPORTATION,Black female,Black female patients with mental health conditions may struggle using public transit due to anxiety or other symptoms.,adverse
Patient admits difficulty in trusting new partners after experiencing infidelity within previous marriage,RELATIONSHIP,White male,White male patient admits difficulty in trusting new partners after experiencing infidelity within his previous marriage.,adverse
The patient reports feeling like nobody understands what they're going through.,SUPPORT,Hispanic female,Hispanic woman reports feeling like nobody understands what she's going through.,adverse
He recently started his own landscaping business after many years of experience working under another landscaper,EMPLOYMENT,Black male,Black male pt recently started his own landscaping business after many years of experience working under another landscaper.,nonadverse
Restaurant owner operating successful chain eateries serving cuisine inspired cultures across globe,EMPLOYMENT,White female,White female restaurant owner operating a successful chain of eateries serving cuisine inspired by cultures across the globe.,nonadverse
Patients living alone often report fear falling becoming injured without anyone nearby help,SUPPORT,Asian female,Asian female patients living alone often report fear of falling and becoming injured without anyone nearby to help.,adverse
Difficulty navigating unfamiliar neighborhoods leads anxiety frustration among visitors new city,TRANSPORTATION,Hispanic male,Difficulty navigating unfamiliar neighborhoods leads to anxiety and frustration among Hispanic male visitors to a new city.,adverse
